nombre,categoria,precio
Refrigeradora,Electrodomésticos,899.99
Microondas,Electrodomésticos,210.0
Cámara DSLR,Electrónica,750.5
Teclado Mecánico,Accesorios,85.75
"Monitor 27""",Electrónica,299.99
Zapatos Deportivos,Calzado,79.9
Reloj Inteligente,Tecnología,199.99
Aspiradora Robot,Electrodomésticos,340.0
Impresora Láser,Oficina,245.0
Lámpara de Escritorio,Iluminación,35.99
Cama Queen,Muebles,499.0
Colchón Ortopédico,Muebles,380.0
Gafas de Sol,Accesorios,25.99
"Smart TV 55""",Electrónica,649.0
Chaqueta de Cuero,Ropa,120.0
Lavadora,Electrodomésticos,560.5
Plancha de Vapor,Electrodomésticos,45.25
Cafetera Automática,Cocina,130.75
Bicicleta de Montaña,Deportes,310.0
Patineta Eléctrica,Transporte,420.0
Bolso de Cuero,Accesorios,65.0
Sudadera con Capucha,Ropa,49.99
Taza Térmica,Cocina,12.5
Parlante Bluetooth,Electrónica,89.0
Cámara de Seguridad,Hogar,115.0
"Tablet 10""",Electrónica,215.0
Router Wi-Fi,Tecnología,67.5
Juego de Ollas,Cocina,99.99
Espejo de Pared,Decoración,39.9
Cortinas Blackout,Hogar,55.0
Libreta de Notas,Oficina,8.75
Cuadro Decorativo,Decoración,45.0
Sartén Antiadherente,Cocina,24.99
Zapatillas Casual,Calzado,59.95
Perfume de Hombre,Belleza,70.0
Set de Brochas,Belleza,25.5
Almohada Viscoelástica,Hogar,30.0
Juego de Herramientas,Bricolaje,110.0
Taladro Inalámbrico,Bricolaje,135.0
Cámara Instantánea,Fotografía,105.99
Mouse,Electronica,30.0
